iter,res_primal,res_dual,alpha,alpha_mu,alpha_lambda,rho,convergio,res_eq_final,res_dual_final
0,640.5543565491535,1539.933918840273,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
1,640.2537628337493,1539.2424168697835,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
2,639.9533058244796,1538.5512243020585,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
3,639.652985459632,1537.8603409985933,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
4,639.3528016775218,1537.1697668209456,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
5,639.0527544164922,1536.4795016307357,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
6,638.7528436149139,1535.7895452896444,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
7,638.4530692111855,1535.0998976594155,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
8,638.1534311437333,1534.4105586018543,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
9,637.8539293510115,1533.7215279788288,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
10,637.5545637715013,1533.0328056522683,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
11,637.2553343437123,1532.344391484163,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
12,636.9562410061814,1531.6562853365667,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
13,636.6572836974731,1530.968487071593,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
14,636.3584623561799,1530.280996551419,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
15,636.0597769209213,1529.593813638283,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
16,635.761227330345,1528.9069381944844,1e-07,1e-07,1e-08,0.001,False,141.8610423879971,447.845894890075
